system:index,date,rainfall_mm,.geo
19811016,1981-10-16,0.5886713372954714,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811017,1981-10-17,1.500324696902375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811018,1981-10-18,1.2774864855515253,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811019,1981-10-19,0.7038299158452647,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811020,1981-10-20,1.6668284476296533,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811021,1981-10-21,3.0812020983531134,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811022,1981-10-22,2.8905135139547666,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811023,1981-10-23,3.2285217366886663,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811024,1981-10-24,5.09051455857997,"{""type"":""MultiPoint"",""coordinates"":[]}"
19811025,1981-10-25,5.043916117691468,"{""type"":""MultiPoint"",""coordinates"":[]}"
